,FLOW_1,FLOW_2,FLOW_3,POWER,POLY_EFF,PRESS_DIFF_COOLING1,PRESS_DIFF_COOLING2,PRESS_2,PRESS_1,PRESS_5,PRESS_4,PRESS_7,PRESS_6,PRESS_3,TEMP_3,TEMP_2,TEMP_1,TEMP_4,TEMP_6,TEMP_5,TEMP_7,TEMP_8,FLOW_COOLING1,FLOW_COOLING2,PRESS_DIFF_WTR_COOLING2,PRESS_WTR_COOLING1,TEMP_WTR_COOL1_IN,TEMP_WTR_COOL1_OUT,TEMP_WTR_COOL2_IN,TEMP_WTR_COOL2_OUT
2015-05-01 00:00:00,91898.81,161545.89,,8685.21,88.35,0.28,0.43,3.21,3.34,2.29,2.28,10.72,10.75,2.29,39.9,42.07,45.17,34.52,119.51,120.13,119.78,,0.14,95.64,0.49,2.45,16.38,44.48,16.69,106.58
2015-05-01 00:05:00,95745.73,167454.58,,8861.54,86.99,0.28,0.46,3.39,3.51,2.37,2.36,10.67,10.7,2.36,39.58,42.84,45.85,35.61,121.58,122.28,121.98,,0.06,93.36,0.46,2.46,16.31,45.26,16.87,108.39
2015-05-01 00:10:00,100692.14,153373.8,,8366.45,88.61,0.27,0.38,3.09,3.22,2.32,2.31,10.94,10.98,2.31,40.29,42.89,46.05,34.73,118.56,119.18,118.9,,0.23,98.37,0.5,2.46,16.29,45.53,16.76,107.11
2015-05-01 00:15:00,105579.59,171885.45,,8982.33,84.56,0.3,0.46,3.39,3.52,2.51,2.5,10.99,11.02,2.5,39.85,42.06,45.42,33.23,117.1,117.77,117.51,,0.16,101.19,0.53,2.45,16.42,44.47,16.66,106.15
2015-05-01 00:20:00,124646.14,164072.73,,8744.84,85.63,0.36,0.41,3.35,3.49,2.61,2.6,11.48,11.51,2.6,39.7,41.91,45.08,34.13,117.73,118.35,118.07,,0.08,100.12,0.51,2.46,16.34,44.29,16.69,106.51
2015-05-01 00:25:00,131172.82,164279.5,,8773.78,85.4,0.4,0.41,3.4,3.55,2.62,2.61,11.56,11.58,2.61,39.78,41.88,45.1,34.3,117.74,118.37,118.12,,0.02,99.89,0.51,2.46,16.29,44.35,16.74,107.2
2015-05-01 00:30:00,126755.6,177524.77,,9204.97,83.98,0.36,0.47,3.59,3.74,2.69,2.68,11.29,11.32,2.68,40.13,42.38,45.69,34.01,117.29,117.96,117.79,,0.04,102.44,0.54,2.46,16.22,45.09,16.68,107.05
2015-05-01 00:35:00,105313.48,185489.33,,9352.07,81.18,0.3,0.53,3.71,3.84,2.68,2.67,10.82,10.84,2.67,40.1,42.32,45.7,34.04,118.22,118.94,118.8,,0.02,98.07,0.5,2.46,16.25,44.92,16.78,107.55
2015-05-01 00:40:00,119807.78,179128.02,,9224.78,83.19,0.34,0.49,3.62,3.76,2.7,2.69,11.22,11.25,2.69,40.34,42.41,45.79,33.78,117.4,118.07,117.88,,0.09,101.4,0.53,2.46,16.24,45.01,16.69,106.77
2015-05-01 00:45:00,90083.23,171956.6,,8906.48,83.17,0.26,0.47,3.49,3.61,2.48,2.47,10.66,10.68,2.48,40.11,43.24,46.38,34.59,119.39,120.08,119.87,,0.1,98.82,0.51,2.46,16.27,45.84,16.73,107.71
