,FLOW_1,FLOW_2,POWER,PRESS_DIFF_COOLING1,PRESS_DIFF_COOLING2,PRESS_2,PRESS_1,PRESS_5,PRESS_4,PRESS_7,PRESS_6,PRESS_3,TEMP_3,TEMP_2,TEMP_1,TEMP_4,TEMP_6,TEMP_5,TEMP_7,TEMP_8,FLOW_COOLING2,PRESS_DIFF_WTR_COOLING2,PRESS_WTR_COOLING1,TEMP_WTR_COOL2_IN,TEMP_WTR_COOL2_OUT
2021-11-01 00:00:00,87893.71,160159.32,9064.51,0.22,0.35,3.08,3.2,2.63,2.63,12.48,12.5,2.63,40.57,40.3,44.46,32.39,122.92,123.57,123.57,35.18,94.04,0.43,2.72,17.03,110.09
2021-11-01 00:05:00,93782.54,168271.27,9370.71,0.24,0.37,3.33,3.45,2.83,2.83,12.84,12.87,2.83,40.69,39.27,43.58,31.8,122.28,122.99,123.57,34.4,94.26,0.43,2.72,16.81,109.78
2021-11-01 00:10:00,86307.16,161952.06,9121.84,0.22,0.35,3.13,3.25,2.66,2.65,12.58,12.6,2.65,40.71,38.86,43.32,31.44,122.05,122.71,123.28,34.47,91.13,0.4,2.72,16.79,109.87
2021-11-01 00:15:00,82037.08,166877.55,9354.92,0.2,0.36,3.18,3.31,2.69,2.69,12.78,12.81,2.69,41.45,39.38,44.24,31.04,121.91,122.57,123.1,34.93,92.67,0.4,2.72,16.77,110.22
2021-11-01 00:20:00,99288.78,169705.1,9489.34,0.26,0.37,3.33,3.46,2.92,2.91,13.09,13.11,2.91,41.53,39.87,44.6,32.31,122.48,123.19,123.68,35.64,93.04,0.42,2.72,17.03,111.31
2021-11-01 00:25:00,94896.99,160306.9,9025.74,0.25,0.35,3.03,3.16,2.67,2.67,12.52,12.54,2.66,39.85,39.39,43.56,32.8,123.09,123.8,124.4,35.22,97.81,0.44,2.72,16.97,110.96
2021-11-01 00:30:00,92277.47,162880.16,9115.04,0.24,0.36,3.09,3.21,2.71,2.7,12.57,12.59,2.7,40.37,39.8,43.87,32.18,122.65,123.35,123.94,35.14,95.33,0.42,2.72,16.79,110.39
2021-11-01 00:35:00,107499.76,171154.98,9509.7,0.29,0.39,3.29,3.43,2.89,2.89,13.1,13.12,2.88,41.09,39.93,44.32,31.97,122.44,123.11,123.63,35.12,96.98,0.45,2.72,16.97,109.89
2021-11-01 00:40:00,85967.81,158044.69,8998.91,0.22,0.34,3.01,3.13,2.62,2.6,12.47,12.49,2.61,39.5,39.68,43.8,32.22,122.88,123.58,124.13,34.81,97.35,0.45,2.72,17.0,109.97
2021-11-01 00:45:00,90300.33,165740.34,9281.74,0.23,0.36,3.15,3.27,2.73,2.72,12.73,12.75,2.72,40.97,40.91,45.43,31.99,122.54,122.49,123.79,34.98,96.17,0.44,2.72,16.47,109.51
2021-11-01 00:50:00,103133.49,174495.56,9619.74,0.27,0.39,3.36,3.49,2.91,2.91,13.04,13.06,2.9,40.78,38.85,43.58,31.09,121.81,122.49,123.08,34.2,94.47,0.44,2.71,16.79,109.07
2021-11-01 00:55:00,102610.55,167866.17,9401.62,0.27,0.37,3.22,3.34,2.92,2.91,13.19,13.2,2.91,39.04,39.08,43.16,32.39,122.59,123.25,123.83,35.12,91.98,0.4,2.71,17.05,110.62
2021-11-01 01:00:00,92314.99,158201.23,8980.72,0.24,0.34,3.04,3.15,2.63,2.63,12.49,12.51,2.63,39.1,40.02,43.94,33.2,123.54,124.19,124.78,35.87,95.89,0.43,2.72,16.7,111.56
2021-11-01 01:05:00,88050.02,164496.11,9192.74,0.22,0.37,3.05,3.17,2.62,2.62,12.38,12.39,2.61,41.08,40.53,45.14,32.07,122.25,122.96,123.46,35.08,96.1,0.44,2.71,16.64,109.74
2021-11-01 01:10:00,97486.59,166761.58,9378.04,0.25,0.37,3.24,3.37,2.82,2.81,12.99,13.02,2.81,40.7,39.68,44.39,31.61,122.06,122.78,123.29,34.8,97.25,0.45,2.71,16.82,109.06
2021-11-01 01:15:00,102991.54,170020.69,9518.21,0.27,0.38,3.3,3.44,2.87,2.87,13.09,13.12,2.86,40.25,40.09,44.53,32.02,122.3,123.28,123.82,34.96,95.59,0.43,2.71,16.68,109.38
2021-11-01 01:20:00,99406.12,166966.62,9293.96,0.26,0.37,3.21,3.34,2.76,2.76,12.76,12.78,2.75,40.03,39.97,44.52,32.35,122.61,123.28,123.82,35.27,95.21,0.43,2.71,16.76,109.91
